tijdstip;locatie;component;waarde;LKI
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;NO2;86,0;7
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;FN;3,79;3
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;PM25;31,0;5
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;PM10;38,4;4
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;NO;25,8;3
2017-04-04 23:00:00+02:00;Amsterdam-Einsteinweg;CO;379,7;2
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;FN;2,92;2
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;PM25;37,5;5
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;NO;24,2;2
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;CO;332,5;2
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;PM10;56,6;5
2017-04-05 00:00:00+02:00;Amsterdam-Einsteinweg;NO2;75,6;7
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;NO2;60,0;6
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;FN;2,24;2
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;PM25;43,6;6
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;PM10;55,8;5
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;NO;17,8;2
2017-04-05 01:00:00+02:00;Amsterdam-Einsteinweg;CO;318,8;2
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;NO2;54,8;5
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;FN;2,07;2
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;PM25;43,0;6
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;PM10;60,1;6
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;NO;15,8;2
2017-04-05 02:00:00+02:00;Amsterdam-Einsteinweg;CO;317,7;2
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;FN;2,2;2
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;NO2;49,8;5
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;PM25;38,5;5
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;PM10;56,6;5
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;NO;16,7;2
2017-04-05 03:00:00+02:00;Amsterdam-Einsteinweg;CO;258,3;2
2017-04-05 04:00:00+02:00;Amsterdam-Einsteinweg;FN;1,21;2
2017-04-05 04:00:00+02:00;Amsterdam-Einsteinweg;NO2;30,1;4
2017-04-05 04:00:00+02:00;Amsterdam-Einsteinweg;PM25;25,7;4
